recordType,speciesCode,subGenus,verbatimSpecies,day,month,notesOnTimingOfRecord,YearObserved,Location,countryCode,stateProvince,county,municipality,locality,Primary citation,Secondary / referencing citation (if primary not found),Notes on contents of record,living,recently_living,Outside entrance
Literature,LACI,Aeorestes,,,,1907,1907,"Shawnee Cave, Mitchell, Indiana",US,Indiana,,Mitchell,Shawnee Cave,"Hahn, W. L. 1908. Some Habits and Sensory Adaptations of Cave-Inhabiting Bats. Biological Bulletin 15:135–164.",,two skulls of L. cinereus,0,,0
Literature,LABO,Lasiurus,,,,1907,1907,"Shawnee Cave, Mitchell, Indiana",US,Indiana,,Mitchell,Shawnee Cave,"Hahn, W. L. 1908. Some Habits and Sensory Adaptations of Cave-Inhabiting Bats. Biological Bulletin 15:135–164.",,two hundred skulls of L. borealis,0,,0
Literature,LABO,Lasiurus,,,,1951,1951,"Hamer Cave, Mitchell, Indiana",US,Indiana,,Mitchell,Hamer Cave,"Mumford, R. E. 1953. Hoary Bat Skull in an Indiana Cave. Journal of Mammalogy 34:121.",,One skull,0,,0
Literature,LACI,Aeorestes,,,,1951,1951,"Hamer Cave, Mitchell, Indiana",US,Indiana,,Mitchell,Hamer Cave,"Mumford, R. E. 1953. Hoary Bat Skull in an Indiana Cave. Journal of Mammalogy 34:121.",,One skull,0,,0
Literature,LACI,Aeorestes,,,,Suspected 1949,1949,"St. Paul, Minnesota",US,Minnesota,,St. Paul,St. Paul,"Beer, J. R. 1954. A Record of the Hoary Bat from a Cave. Journal of Mammalogy 35:116.",,Mummy in man-made cave,0,,0
Literature,LANO,Lasionycteris,,,,<= 1956,1956,Virginia,US,Virginia,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LANO,Lasionycteris,,,,<= 1956,1956,West Virginia,US,West Virginia,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LANO,Lasionycteris,,,,<= 1956,1956,Minnesota,US,Minnesota,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,New York,US,New York,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,Indiana,US,Indiana,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,Missouri,US,Missouri,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,Tennessee,US,Tennessee,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,New Mexico,US,New Mexico,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,Utah,US,Utah,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in a mine,,,0
